
hre,vietnamese
Dhoi toq,chỉ nói, nói riêng
Jup,giúp đỡ
Truh pazaq,đúng, đến mức
Zuaq,Dựa
Kanòm,nhờ vả
A geng,dựa, tựa
Eng hangai,từ xa
Enh,Muốn, thích,ưng
Pâng,khoảng
Enh adrôi ,muốn trước, từ trước
Enh caq,muốn ăn, thích ăn, muốn ăn
Eng gông,ngoài ra,bên ngoài
Eng ka lah,từ ngày xưa, xa xưa
Eng kalah nêh,Từ ngày xưa ấy, lâu lắm rồi
Eng keng,xung quanh, bênh cạnh, bên lề, ngoài
Eng moiq ,ngoài ra
Eng gông ca aih,Ngoài đó ra
Eng vah cô nêh,từ thời gian qua
Vah cô nêh,vừa mới đây
Eng trom,bên trong
Găm,đen
Gang got,cứng cáp
Gătq 'mau,gặt lúa ruộng(lúa nước)
Gâu ngooc,đầu óc , trí óc
Gê,mày (gọi người nhỏ tuổi hơn theo kiểu thân mật)
Ih,anh, chị (xưng hô với người lớn tuổi, ngôi thứ 2 số ít)
Gêh gôi,Vô cùng
Ghêh,hoàn thành, xong (việc)
Gheo lem,sạch sẽ
Gheo,kỹ càng, thận trọng
Uinh cheo,lửa cháy
Glâm,gặp, tông mạnh, va vào, đụng vào, gặp gỡ
Glâc ka dheac,chìm nước, đuối nước
Glâm marênh,tiến nhanh
Klêq,sao
Haglêq,tại sao
Goâng,Cầu thang
Goh,Bẻ, vặn
Gơh,màu đỏ
Gơh muh,đỏ mũi
Goh muh,gãy mũi
Goi,ngọn
Goi dheac,đầu nguồn nước
Gơm,chờ, đợi
Gon,mì (củ mì)
Gông,vùng, miền, quê quán
Gông wuăng,miền núi, vùng núi
Gông’nuiq,nơi khác, miền, vùng khác
Gông taneh kân,lục địa
Gongdheac kân zruq,đại dương biển sâu
Grâng,cái càng (cua)
Gu kadri,nữ (phái nữ)
Con kadri,con gái
Con kalô,con trai
Gu kalô,nam (phái nam)
Gu kraq,người già uy tín
Gu druh,cô gái, thiếu nữ
Kraq plây,Già làng, lão làng
Hla,lá
Hlâm,bệnh nặng
Hlâm hlai, nặng nề
Hnoq,thấy
Hrah,đói, đói kiệt
Hchit,chết 
Hching,nghiêng
Hagô,không may mắn, xui xẻo
Ki,sừng, lơn rừng
Hlây ,về
Vroâc,trở lại, lại, trở về
Hmâng,nhớ, ghi nhớ
Hmoi,khóc
Rawah,khóc to
Hmoi ca hanăng,khóc người chết
Hmơt,quen
Hnăn,đuổi, rượt đuổi
Hnây,dạy dỗ, chỉ dẫn, dạy
Hnên,lấn (chen lấn)
hangai,xa
Hnhaq,cái nhá
Hnhoong,mất
Hnim mayq,nhà máy
Hnim,nhà
Hring,trăm
Htăp,trứng
Catăp,trứng
Htoa,treo
Catoa,treo
Htuh,chôn cất
Hmâyh,thăm
Ha chêh,hắt hơi
Cachêh,hắt hơi
Chin,chín (nấu chín)
Đrơ măt,khuôn mặt
Đrơ,bộ mặt , hình ảnh
Ha ''neq,thấp
Ha ngai,xa
Ha ngêp,mát mẻ
Ha ơi,mát mẻ, thoáng mát
Ha ''nhêq,Cao
Ha nua,chia sẽ của người chết
Ha oich,yêu thương
Xa oich,yêu thương
Hakia,kề cận, gần kề
Ha ten,gần
Ha tôq pa nâc,ấm no
Ha’nêq,Dưới, bên dưới, dưới thấp
Ha’nhêq,cao
Ha’ro,đánh dấu
Chin,Chín(9)
Haq,nó, hắn
Hadhai,Cũng, vẫn
Hidhai,Cũng
Gan ti,thước tay, gang tay
Coong ti,cánh tay
Ki,heo rừng, sừng (động vật)
Haling,Thọ, sống lâu
Hnăm,tuổi (bao nhiêu tuổi)
Hnăng,ma, người chết, xác chết
Hâu hnăng ,đi đám ma
Ha’nêq,dưới, bên dưới
Ha oâc,Cảm cúm
Hpăm,chòi lúa
'Rang jêng,Ngón chân
'Rang ti,Ngón tay
Ha tuông,trò chuyện, tâm sự
Ha nhoi,khói ( khói bay vào mắt khó chịu)
Hatên tot,hoang vu, vắng vẻ, đìu hiu
Hatenh tot ra ngot ra ngit,( hoang vắng, đìu hiu) Thành ngữ 
Hatôq,ấm
chôi 'mau,tỉa lúa
Hchan hooc,tự học
Hooc dheh,tự học
Hech,nhuyễn (đất), nát nhuyễn
Hêm uh troq,nghi oan, nghĩ không đúng
Hêt,quên
Hêu,Nhẹ
Hi,Ngày
Hi calah nêh,ngày xưa, ngày xửa
Hyah,rách
Hla kơ,lá cờ
Hlâm,lưới
Jêo,chài
H’lâu,Không dễ, không thuận lợi
Hlôi,Luôn, liền (làm luôn, làm liền..)
Xoong,hoàn thành, xong (việc)
Hlôm hlay,nghiêm trọng, dữ dội
H’mâng,nhớ (biết ơn)
H’mâng hnăm,Nhớ tuổi, nhớ năm
H’moi,khóc
Hmôich,Con kiến
H’mu,hon đá
H’mo,hon đá
Hnây hoc,Dạy học
H’ngui,ngồi 
H’nhoang,mất
Ăm,trao, đưa, cho
Hơi hơi, thưa thớt
Hùm,(Hơn) Nữa
Hon,mọc, nảy mầm
Plôh,mọc mầm, nhô ra
Hoa hêm hoa vroq,dám nghĩ dám làm/ tự tin
Hoc,học
H’pen,khố ( cái khố)
Dhôich pa zum,nói chung
Kapoich,nói chuyện
Hret xa,vất vả, cực nhọc
Hri,Rơm
Hri’mau,rơm rạ
Rèm hnăm,hằng năm
Hoa,dám
Hum,tắm
Hung dhu,hung tợn, hung dữ, ác độc
Hung gâm,hung dữ gầm lên
Wih hlây,quay lại
Hwiên,huyện
Hwit hwăt,hết sạch
Hwit,quét
Hwit hnim,quét nhà
Hi manâyq,ngày nay, hiện nay
Y neq vroq,việc làm, công việc làm
Wi krăq,Người già
I,có    
I băng i tiêng ,có tiếng tăm lừng lẫy
I manoh,Đã có suy nghĩ chín chắn
I gâu ngooc,có đầu óc, có suy nghĩ
Uh hrooc,đau ốm
I teo,có vết, có dấu vết
I thêq lem,có thế đẹp
I toq,chỉ có
I toq biaq,chỉ có ít
I vâc,có nhiều
I wa,mạch máu
I jâng,có lần
Ia,Gà
Ia canh,gà mái
Ia h’mong,gà trống
ro h’mung,rõ gà trống
Ia vri,gà rừng
Ia vri canh,gà mái rừng
Ia vri h’mong,gà trống rừng
Ic kring,rong, rêu
Iên êm,êm ả , ổn định
Iên êm lem kajap,ổn định, tốt đẹp, vững chắc.
ih,anh, chị
Iloac,sương
Iniq,tên
Jacq ong jacq mai,lấy vợ lấy chồng
Jah may mo,được may mắn 
Jam,Thịt
Jâm,thâm đen
Jâng,lần, lượt (số lần, số lượt ...)
Jaq,Bà (cụ)
Jaq crăq,bà (cụ) già
Jeang’mau,ma lúa, hồn lúa
Ro,gùi dẹp
Zêc,rẫy
Jêh,đánh
Jêh ramôh,đánh đập
Jêh kadăc,đánh bỏ
Jêh hnăn,đánh đuổi
I,cũng, vẫn, đều
I loq,cũng biết, vẫn biết
I waq,cũng thích, cũng ưng
I xôg rih,cũng vẫn sống
Jơ,lúc, giờ,khi, mùa
Jơ oi heo,lúc ở ( trong điều kiện , hoàn cảnh)
Jơ oi pagôq,lúc ở chơi
Jơ oi,lúc ở
Jơ caq,lúc ăn
Dôh,Dài
jôh,mổ (gà mổ thóc)
Jơq,chua (vị)
Joq,thật   
Joq’nâng,thật sự
Jrăng hnim,Cột nhà
Jrăng,cột, trụ
Jrum,kim may
Zrêu,thuốc
Jreo hla,thuốc lá
Jreo ôq,Thuốc uống
Jroâng,xấu, xui xẻo, rủi ro
Jruq,sâu
Ju jah,giữ được
Ju ja,dư giả
Ju,giữ
Juâng,đứng
Júp đơ,giúp đở
Juq krê,Sợ sệt
K’rây,riêng
Ka’nung,nằm
Ka’nhut lui,đẩy lùi
Ka chit,chết , tử vong
Kadhiêng,Bước chân
Ka đăp xra,mủng đựng trầu cau (mẹt trầu cau)
Ka dêu uinh,củ gừng núi
Padhêu,củ gừng núi, củ riềng
Ka dheang jênh,bước chân
Ka dhoh,nón
Ka lôp,mũ
Ka đoa,phòng hờ
Ka drăt ,thức tỉnh, tỉnh giấc, giật mình
Dreang ia,chuồng gà
Ka jeo,gió
Ka la,Tre
Ka lung,Cái trống lớn
Ka met,gắn bó
Ka nhong,con muỗi
Ka pen,khố
Ka tô,kêu, hót (chim)
Ka tôh,nhỏ giọt
Ka tuh,chôn cất
Ka xênh,quay sợi
Ka xôiq,niệm thần chú, vái cúng
Ka xôiq phép,niệm thần chú, xói phép
Ka xoong,con tôm
Kajăp,vững chắc , bền chăc
Kabây,Các lũ, cả bọn
Bây wi haq,các bọn họ
Kaching,ven (biển, sông)
Kah Klêq?,Cái gì?
Kahi,Cái ngày, trong ngày
Trom hi,trong ngày
Kajeo jaq kanoc,Gió xoáy, gió lloocs xoáy
Kalah,xưa,xa xưa
Kalah kaling,Ngày xưa, xa xưa
Kalah nêh,Từ xưa
Kalô,chồng, trống
Kamaih,Xấu hổ
Kamoq,nhọ, lọ nồi
Kân,lớn 
Tê,lớn
Caiq,lớn
Padrong,giàu
Kan kiêc,thần linh
Kan kiêc nui vroq,thần linh làm
Kanơm,Dựa, nhờ
Paih,bông
Pơ,Trâu
Caq’mao niu,ăn lúa mới
Caq poa,ăn cơm
Căq ,ăn
Tap,đẻ trứng
Têm,con cua
Têch,đứt dây
Têu,cây mía
Tia,con mối
Katoa,treo
Tu,váy thổ cẩm
Katuh ,lấp (đất)
Câu ngwiên,cầu nguyện
Kavô,Ai
Kavô i,ai cũng
Kaxi,Sợi dây
Khoi dhunh,từ lâu
Khê,Tháng 
Khê h’chin,tháng 9
Khê hlâp,Trăng lặng
Khê katoa,Trăng rằm
Khê loh,Trăng mọc
Khê rahim,tháng tám 
Khiêng,khiêng
Khoi,Đã, rồi
Khoi ca aih,sau đó, rồi sau đó
Khoi lah,đã từng
Khôi pa tô,Đã chỉ ra
Khoi xong khoi dhiq,đã xong hết
Khôi troq,Đã xác định, đã chính xác
Kiêc h’chooc ,con ma
kiêc kaq ma ngai,cọp ăn thịt
Kiêng,Càng, cái cằm
Kleac,Bụng
Klêm,gan
Klêh,giam giữ, nhốt
Pli nơih,Quả tim
Klêq,gì?
Kloc,cái rốn
Klui,Người kinh
Caloong,Ống
Taloc,hủ, cái lon
Cô,Này, nay
Cùa,nóc nhà
Cong,vòng tay
Coh loong,Chặt cây
Kon gông,người dân tộc
Kon nga,trẻ sơ sinh
Kon xao,con cháu
Kon’yoh,trẻ nhỏ
Coq gông,chó sói
Krac,huỳnh đàn
Krăq,già
Kreang,dốc
Krêu,Kêu gọi, gọi là
Kreo thê,gọi bảo
Krêu dhoi,kêu gọi
Krơ,khóc
Kroh,Khô
Kroh kreng,Khô khan
Krong,lưng, sau lưng
La lông,huyệt mộ
Lach,la rầy,quở mắng
Lam,Đi
Lăm dhi vaiq,đi đôi
Lam hlây,Đi lại, trở về, lại về
Lăm vruâc,Đi lại, trở về, lại về
Lân lân,lần lần, từ từ (như tiếng viêt)
Lem,đẹp
Li lì,lỳ lượm
Ly,cái ly
Lem đêu,đều đẹp
Lem linh,đẹp hoàn hảo
Lìng’mau,vay lúa
Lem vui,Vui vẻ
A leq,Đâu, nào, sao
Liah ,liếm
Jop,mút
Trut,hút
Linh,chiến sĩ,lính chiến
Bôq đôiq,bộ đội
Ling loang,lõi cây
Liq lân, bừa bãi, bậy bạ
Loang,Cây
Loang choi,cây (vọt nhọn) để tra lỗ
Loang gâyq,cây gậy
Loang kadrâng,cây rừng
Loang k’rêng,cây dền
Loang la long,cây ké
Loang mit,cây mít
Loang uinh,Cây củi
Loh,Xuống, ra ngoài
Loh pagôq,ra chơi
Loh ta dheac,Xuống nước
Lơiq,để
Lơt tac,đẩy lên
Lơitq,đẩy 
Lon gon,Tròn tròn
Lơi,tin, niềm tin
Loq,Biết
Loq hêm loq ran,năng động, biết nghĩ biết cố gắng
Loq ka đoa ,biết phòng ngừa 
Loq 'mêm,biết tần tiện, tiếc của
Loq paro,biết mua bán
Loq waq,biết yêu thương, triều mến, biết quý mến
Lo xi oich,biết yêu thương, triều mến, biết quý mến
Loq waq ca tamoi,biết mến khách
Ma,Chúng tôi (2 người)
Ma hoa,Hồn vía
Ma hi,mặt trời
Ma hi loh,mặt trời lên
Ma hi mơt,mặt trời lặn
Ma loq,sao biết, khó biết
ji loq,cũng biết, vẫn biết
Ma ngai kân ghêh,người trưởng thành, người đã lớn
Ma ngai lem ma noh,người tốt bụng, tốt dạ
Ma noh kleac,thái độ/lòng dạ
Ma noh,tình cảm, suy nghĩ, ý thức, thái độ
Manuh,vỏ trấu (manuh 'mau)
Mahaq,nhưng, nhưng mà
'Mu,bóng người
Mai,cách họi con, cháu, con dâu (dùng cho người lớn trong nhà phía chồng gọi dâu)
Muih,phát dọn
Gah,phát dọn
Manây cô,ngày nay
Manâyq,Bây giờ
Manê,Khen, cảm ơn
Măng,Đêm
'Mâng ,như 
'Mâng aih,như vậy,như thế
'Mâng lêq,thế nào, ra sao
Mangai noiq,người khác
Manoh,Ý thức, suy nghĩ
Mao,lúa
Măt,Mắt
May ong,vợ chồng
Mê,Mưa
Mê prơ,Mưa dông
Mê roi,Mưa phùn
Mech ta gah,chán nản, mệt mỏi
Meh,này
Kô,đây
Tau,kia
Ti,trên
Châm,dưới
Mân jah,mới được (nguyên nhân)
'Mêq ,xấu
Mêq’muông,Xấu, trắc trở
Mit,Mít
'Mih,Bác, cô (người lớn tuổi hơn cha mẹ của mình)
Mih,Anh, chị (cách xưng hô của em rể,em dâu gọi anh, chị của chồng hoặc của vợ)
Mơi,Mời
Moig hring moiq,Một trăm lẻ một(101)
Moig ngan leq moiq,Một ngàn lẻ một(1001)
Moig ngan moiq hring vaiq jât piq,Một ngàn một trăm hai mươi ba(1123)
Moiq jât,10
Moiq ,số1
Mơiq eng nêh ,thường thì, trước đây, mới vừa rồi, vừa qua
Moiq hring,Một trăm(100)
Moiq jaq,như cũ, mức cũ
Moiq jât moiq,Mười một (11)
Moiq ka dheang,một bước 
Moiq ka’dhraq,mỗi gia đình
Moiq ngan,một ngàn
Moiq ngai,một người
Moiq triêuq,Một triệu(1000000)
Mon,Cháu (Xưng với chú, bác, cô, dượng)
Moc,cửa
Mơt,Vào
Mot poa,cơm nắm
Mu, chiếc khăn
'Mu,hình ảnh
Hmo pâng,táo bếp
Mu xênh,khăn đội
Mua dhênh,mùa xuân, tết
Mua padăng,Mùa nắng, hạn hán
Ra lêm,Mùa đông
Mua mê,mùa mưa
Muh,Mũi
Muih wăng,khai khẩn, phát rừng
Mum,góc (nhà, sân, vườn, rẫy...)
Mun meo,cằn cỗi, bạc màu
'Nah,phía hướng 
Rahem,Tám(8)
Hem jât,Tám mươi(80)
Năn xa,khó khăn
Năn no,hoạn nạn
'Đang drâng hlây,đang,đem lại
'Đang cui,đang ngủ
'Nayh ,chậm chạp, chạm rãi, khoanthai
Niu,mới, mới mẻ
'Ngah,sáng, minh bạch
'Ngah’ngoi,sáng trưng
'Ngah măng,sáng đêm
Mangai,Người, con người
Ngen,Coi, xem
Ngen hoc tam,tham khảo, học thêm
Ngao ngaiq,toàn bộ
Nghê caq,thức ăn
'Ngea,trước mặt, hướng
Nghit,xanh lá cây
'Ngea ma hi loh,Phía mặt trời mọc
'Ngea ma hi mut,Phía mặt trời lặng
'Ngea pling taneh,Hướng trời, đất
Hngeo,lạnh, nguội
Goi,nguồn
Goi dheac,đầu nguồn 
Vasêm,đầu tiên, bắt đầu
'Nhah loang,Vỏ cây
Nhang nhin,quan trọng, cấp thiết
Nhăt,cỏ
Nhet,cấp thiết, tích cực
Nhet nhang,tích cực, khẩn cấp, quan trọng
Nhim,ngọt
Nhinh,Chúng tôi (3 người trở lên)
Nhooc,Nhạc
'Nhơq ,chưa 
'Nhơq zâp,chưa đều
'Nhroh,Xúc cá
Hnây,dạy/ chỉ bày
Nơi,vùng, vị trí, nơi chốn
Nơi rih,nơi sống
Nơi oi,nơi ở
Nơih,ngực
'Nơih,Tức giận,giận dữ
nơih,trái tim
Nui,Nổi
Oh ,Em
Oh dhaq,bà con
Oh dhaq,em anh (anh em)
Oh dhaq kon tamoi,bà con dân tộc thiểu số
Oi,ở
Oi caq,Ăn ở
Caq oi,ăn ở
Oi heo,Rảnh rỗi, ở chơi
Oi hlây,lưu ban, ở lại
Oi rih kăq,ăn ở sinh sống
Oi ta châm,ở dưới kia
Oi ta’nhêq,ở trên kia
Oi ta kdrây,ở nơi khác
Oi ta meh,ở đó
Oi ta prêng,ở bên trên
Oi ta tau,ở đằng kia
Oi ta ti,ở trên kia
Oong,chồng
Ôc,rót, đổ
Ôc lui,đổ lỗi 
Ôc pa zum,nhập cục, đổ chung
Oq,vâng, dạ, ừ, ạ
Ôq,Uống
Pa,nghèo
Pa pêp,nghèo nàn
Pa’nâng,Dựng lên, vực dậy
Pa’noh,Đưa ra, định hướng
Pa chêu pa chôh,vu khống, thêm dầu, thêm lửa
Pa chuh,Mời (lúc ăn uống, tiệc tùng...)
Padrên,sức,sức khỏe
Pa đep,cãi cọ
Pa đêu,Làm cân bằng
Dhăm,số 5
pa dhêch,phát huy , nâng lên
Pa dhing joâng,vùng đứng dậy
Dhiq,chấm dứt (cho hết xong việc)
Pa dhô,dụ dỗ
Pa dhon,chuẩn bị, sắp đặt
Pa drênh,sức mạnh
pa dring,Cầu vồng 
Pa dro,Buôn bán
Pa droong,giàu có
Pa zum,chung
Pa gâu,Đầu tư, dẫn đầu
Pa gheo,Làm hoàn thành, hoàn tất, cuối cùng
Vah’mâng,nhắc nhở, nhắc nhớ
Pa khoq,Đừng làm khó
Pa nâc,no
Pa nâyh,quẻ (gieo quẻ)
Pa neang,cau
Pa’ngah,ánh sáng, làm cho sáng
Pa ngot,đói(đói ăn)
Pa’nhuq,đe dọa, dọa dẫm
Pa nim,chăm chỉ
Pa nôang,Phù hợp
Pa’noh loh,hạ xuống, đưa ra
Pa rêu,Đánh thức
Pa tooc,tăng, đưa lên
Tapêh,mở mang, mở ra
Pa tih,phuc vụ, làm lụng, làm công việc
Pa tô,tuyên truyền, chỉ ra
Pa tuq,Tập trung
Patiah,ví dụ
Vaxuh,đùa, vui cười, chọc trêu đùa
Pajum,tập thể, chung
Pâc,đâm, chém
Pad hiq pa dhâng,tất cả
Vađêu, hòa, hài hòa
Padhây,nghỉ
Padrâng,ngăn chặn, không cho tiếp tục
Padren,Sức khỏe
Pagat,chiều ngang, chắn ngang
Pagôq,Chơi
Palaoq,điều chỉnh, sắp đặt
Pâng,từ, khoản
Eng,từ, khoản
Oi,từ, khoản
panec,phong tục, phương pháp, cách thức
raneng,phong tục, phương pháp, cách thức
panec krây,sắc thái, bản sắc khác, cách thức khác, cách khác
panech lem troq,kinh nghiệm tốt đẹp, đúng đắn, cách thức tốt
panech vroq maniu,phương pháp làm mới, cách làm mới
Paneng ,cung nỏ
Pang aih,từ đó
Pâng kô êh,từ nay trở đi 
Pangot,Đói
Pa’noh,cho ra, phổ biến
Papêp,nghèo khổ, túng thiếu
Papuông,nghèo quá
Padrêu,đáng thức, khơi dậy
Paroi,thông gia, sui gia
Pasêm,đầu tiên, bắt đầu
Vasêm,đầu tiên, bắt đầu
